# Per-cobra open-loop response of the two blind moves, measured 2026-09-14 with the
# dots rotated 90 deg in theta so both moves were visible to MCS.
#
# landingGain: measured phi change over commanded, for the ramp's move to the
#   landing fraction, whose start is the measured iteration-7 angle.
# targetGain:  the same for the move to dotTarget, commanded as a fraction of the
#   chord from the tracker's belief that it is at the landing fraction.
#
# The two are only weakly related (r = 0.39), so one gain cannot stand for both.
# dotTarget for a depth D, given the measured iteration-7 angle phi7:
#   landed = phi7 + landingGain * (phiAt(landing) - phi7)
#   dotTarget = landing + (phiAt(D) - landed) / (targetGain * chord)
# calibrated False means the fleet default applies.
cobraId,landingGain,targetGain,calibrated
311,1.0630,1.0230,True
312,1.1253,0.8992,True
313,0.9766,0.8400,True
314,0.9945,0.8107,True
315,1.0000,1.0000,False
316,0.9287,1.0462,True
317,1.1710,1.0544,True
318,1.0173,0.9904,True
319,1.1108,1.0966,True
320,1.0968,1.4179,True
321,0.9939,1.0505,True
322,0.8583,1.0067,True
323,1.2537,1.0119,True
324,1.1073,1.0964,True
325,1.2081,0.8806,True
326,1.0707,1.0472,True
327,1.0000,1.0000,False
328,1.0576,0.8774,True
329,1.0861,1.0798,True
330,0.9832,1.1597,True
331,0.9467,1.1040,True
332,1.1759,1.2145,True
333,1.0294,0.7831,True
334,1.2442,1.3325,True
335,1.0700,0.9707,True
336,0.9515,1.0591,True
337,0.8248,1.0704,True
338,0.9267,1.0276,True
339,0.8912,1.0274,True
340,1.2000,1.0299,True
341,1.1913,0.9824,True
342,1.1686,1.0954,True
343,0.7998,1.1483,True
344,1.0000,1.0000,False
345,1.0791,1.1244,True
346,1.1035,1.0740,True
347,1.0000,1.0000,False
348,0.9923,1.2913,True
349,0.9811,1.0998,True
350,1.0918,1.4529,True
351,0.8726,1.1374,True
352,1.0846,0.9692,True
353,1.0997,0.9218,True
354,0.9169,0.9038,True
355,0.9244,1.2762,True
356,0.9122,1.0439,True
357,1.1752,1.0143,True
358,1.0715,1.0505,True
359,1.0405,0.8431,True
360,1.2540,1.1468,True
361,1.0000,1.0000,False
362,0.8303,0.7896,True
363,1.0802,0.8797,True
364,0.9861,1.0000,True
365,1.2892,1.0596,True
366,1.0522,1.0292,True
367,1.0106,0.8240,True
368,0.9704,1.0870,True
369,1.1487,1.1518,True
370,1.0000,1.0000,False
371,0.9735,1.1264,True
372,1.1673,0.8884,True
373,1.2217,1.0319,True
