id_dot,x_dot,y_dot,r_dot
518,3317.2,4405.94,9.964030000000001
519,3223.84,4354.67,9.95967
520,3314.52,4299.37,9.9647
521,3221.16,4248.11,9.96027
522,3311.85,4192.77,9.96536
523,3218.49,4141.53,9.96086
524,3309.2,4086.16,9.96593
525,3215.84,4034.92,9.96138
526,3306.56,3979.51,9.966389999999999
527,3213.21,3928.29,9.96185
528,3303.94,3872.86,9.96683
529,3210.6,3821.64,9.96223
530,3301.34,3766.18,9.967210000000001
531,3208.0,3714.98,9.9626
532,3298.76,3659.5,9.96754
533,3205.42,3608.32,9.96288
534,3296.19,3552.8,9.967789999999999
535,3202.86,3501.64,9.9631
536,3293.64,3446.1,9.967989999999999
537,3200.31,3394.96,9.96326
538,3291.1,3339.4,9.968119999999999
539,3197.79,3288.28,9.96337
540,3288.59,3232.7,9.968210000000001
541,3195.28,3181.6,9.9634
542,3286.09,3126.0,9.968210000000001
543,3192.79,3074.93,9.96338
544,3283.6,3019.31,9.96809
545,3190.31,2968.26,9.96331
546,3281.14,2912.63,9.968010000000001
547,3187.86,2861.61,9.96318
548,3278.69,2805.97,9.9678
549,3185.42,2754.97,9.96295
550,3276.25,2699.32,9.96754
551,3182.99,2648.35,9.96265
552,3273.83,2592.69,9.9672
553,3180.58,2541.75,9.96228
554,3271.42,2486.08,9.96676
555,3178.18,2435.17,9.96185
556,3269.03,2379.49,9.96626
557,3175.8,2328.61,9.961319999999999
558,3266.65,2272.93,9.9657
559,3173.44,2222.08,9.96068
560,3264.29,2166.4,9.965010000000001
561,3171.09,2115.58,9.95994
562,3261.94,2059.9,9.96422
563,3168.75,2009.12,9.95908
564,3259.6,1953.43,9.963330000000001
565,3166.43,1902.68,9.95807
566,3257.27,1847.0,9.96232
567,3164.12,1796.28,9.95693
568,3254.97,1740.6,9.96112
569,3161.83,1689.93,9.95566
570,3252.67,1634.25,9.95984
571,3141.4,4729.33,9.95205
572,3048.11,4678.07,9.947610000000001
573,3138.65,4622.91,9.95294
574,3045.37,4571.65,9.94841
575,3135.93,4516.44,9.95374
576,3042.64,4465.19,9.94917
577,3133.21,4409.95,9.95447
578,3039.93,4358.7,9.94985
579,3130.52,4303.42,9.95509
580,3037.24,4252.18,9.95045
581,3127.84,4196.87,9.95573
582,3034.56,4145.64,9.951030000000001
583,3125.18,4090.29,9.95627
584,3031.9,4039.07,9.95153
585,3122.53,3983.69,9.95673
586,3029.26,3932.48,9.95195
587,3119.9,3877.08,9.95715
