id,x_dot,y_dot,r_dot
1.83000e+02,6.53749e+03,3.63655e+03,1.00105e+01
1.84000e+02,6.63119e+03,3.68780e+03,1.00076e+01
1.85000e+02,6.72485e+03,3.73904e+03,1.00047e+01
1.86000e+02,6.81848e+03,3.79027e+03,1.00017e+01
1.87000e+02,6.91207e+03,3.84148e+03,9.99861e+00
1.88000e+02,7.00562e+03,3.89267e+03,9.99546e+00
1.89000e+02,7.09914e+03,3.94385e+03,9.99211e+00
1.90000e+02,7.19262e+03,3.99501e+03,9.98877e+00
1.91000e+02,7.28606e+03,4.04615e+03,9.98518e+00
1.92000e+02,7.37946e+03,4.09728e+03,9.98149e+00
1.93000e+02,7.47281e+03,4.14838e+03,9.97742e+00
1.94000e+02,7.56612e+03,4.19946e+03,9.97312e+00
1.95000e+02,7.65938e+03,4.25052e+03,9.96836e+00
1.96000e+02,5.12701e+03,2.76036e+03,1.00279e+01
1.97000e+02,5.22092e+03,2.81159e+03,1.00287e+01
1.98000e+02,5.31483e+03,2.86285e+03,1.00292e+01
1.99000e+02,5.40876e+03,2.91411e+03,1.00294e+01
2.00000e+02,5.50268e+03,2.96539e+03,1.00292e+01
2.01000e+02,5.59660e+03,3.01667e+03,1.00288e+01
2.02000e+02,5.69052e+03,3.06796e+03,1.00281e+01
2.03000e+02,5.78442e+03,3.11926e+03,1.00271e+01
2.04000e+02,5.87832e+03,3.17057e+03,1.00259e+01
2.05000e+02,5.97220e+03,3.22187e+03,1.00242e+01
2.06000e+02,6.06606e+03,3.27317e+03,1.00225e+01
2.07000e+02,6.15990e+03,3.32447e+03,1.00206e+01
2.08000e+02,6.25372e+03,3.37577e+03,1.00183e+01
2.09000e+02,6.34751e+03,3.42706e+03,1.00160e+01
2.10000e+02,6.44128e+03,3.47835e+03,1.00134e+01
2.11000e+02,6.53502e+03,3.52962e+03,1.00108e+01
2.12000e+02,6.62872e+03,3.58089e+03,1.00080e+01
2.13000e+02,6.72240e+03,3.63214e+03,1.00052e+01
2.14000e+02,6.81604e+03,3.68338e+03,1.00022e+01
2.15000e+02,6.90964e+03,3.73461e+03,9.99912e+00
2.16000e+02,7.00321e+03,3.78582e+03,9.99597e+00
2.17000e+02,7.09675e+03,3.83702e+03,9.99270e+00
2.18000e+02,7.19024e+03,3.88820e+03,9.98926e+00
2.19000e+02,7.28370e+03,3.93937e+03,9.98574e+00
2.20000e+02,7.37711e+03,3.99051e+03,9.98201e+00
2.21000e+02,7.47048e+03,4.04164e+03,9.97810e+00
2.22000e+02,7.56381e+03,4.09274e+03,9.97388e+00
2.23000e+02,7.65708e+03,4.14383e+03,9.96921e+00
2.24000e+02,5.12447e+03,2.65347e+03,1.00272e+01
2.25000e+02,5.21837e+03,2.70469e+03,1.00281e+01
2.26000e+02,5.31229e+03,2.75593e+03,1.00286e+01
2.27000e+02,5.40620e+03,2.80718e+03,1.00289e+01
2.28000e+02,5.50012e+03,2.85844e+03,1.00289e+01
2.29000e+02,5.59405e+03,2.90972e+03,1.00285e+01
2.30000e+02,5.68796e+03,2.96101e+03,1.00278e+01
2.31000e+02,5.78187e+03,3.01230e+03,1.00269e+01
2.32000e+02,5.87577e+03,3.06360e+03,1.00257e+01
2.33000e+02,5.96965e+03,3.11490e+03,1.00242e+01
2.34000e+02,6.06352e+03,3.16621e+03,1.00225e+01
2.35000e+02,6.15737e+03,3.21751e+03,1.00206e+01
2.36000e+02,6.25120e+03,3.26882e+03,1.00185e+01
2.37000e+02,6.34500e+03,3.32011e+03,1.00162e+01
2.38000e+02,6.43877e+03,3.37141e+03,1.00137e+01
2.39000e+02,6.53252e+03,3.42269e+03,1.00111e+01
2.40000e+02,6.62624e+03,3.47397e+03,1.00083e+01
2.41000e+02,6.71992e+03,3.52524e+03,1.00056e+01
2.42000e+02,6.81358e+03,3.57649e+03,1.00026e+01
2.43000e+02,6.90720e+03,3.62773e+03,9.99958e+00
2.44000e+02,7.00078e+03,3.67896e+03,9.99641e+00
2.45000e+02,7.09433e+03,3.73018e+03,9.99321e+00
2.46000e+02,7.18784e+03,3.78138e+03,9.98979e+00
2.47000e+02,7.28131e+03,3.83256e+03,9.98633e+00
2.48000e+02,7.37474e+03,3.88373e+03,9.98262e+00
2.49000e+02,7.46813e+03,3.93487e+03,9.97864e+00
2.50000e+02,7.56147e+03,3.98600e+03,9.97449e+00
2.51000e+02,7.65476e+03,4.03711e+03,9.97000e+00
2.52000e+02,5.12193e+03,2.54660e+03,1.00264e+01
2.53000e+02,5.21583e+03,2.59781e+03,1.00273e+01
2.54000e+02,5.30973e+03,2.64903e+03,1.00279e+01
2.55000e+02,5.40365e+03,2.70027e+03,1.00282e+01
2.56000e+02,5.49757e+03,2.75152e+03,1.00282e+01
