# Per-cobra black-dot target, in dot fraction (0 = entry edge, 0.5 = geometric centre,
# 1 = exit edge).  `calibrated` False means dotTargetFraction is the fleet fallback,
# not a measurement.  source: sept1scan = fitted to the dot scan of 2026-09-01
# (run 20260901_047, visits 148471-148483) through the fps tracker and measured
# gain; july2scan = fitted to the two scans of 2026-07-24 where 2026-09-01 gave no
# usable fit.  Accepted: fitted, inside the scan's own depth range, within 0.15-0.85.
cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread,source
482,0.4536,True,0.0988,True,,sept1scan
483,0.3237,True,0.0138,True,,sept1scan
484,0.4071,True,,False,,sept1scan
485,0.3296,True,0.0567,True,,sept1scan
486,0.4827,True,0.0709,True,,sept1scan
487,0.5777,True,0.0955,True,,sept1scan
488,0.4535,True,0.0578,True,,sept1scan
489,0.5366,True,0.0599,True,,sept1scan
490,0.5048,True,0.0791,True,,sept1scan
491,0.5064,True,0.0555,True,,sept1scan
492,0.4798,True,0.0662,True,,sept1scan
493,0.4864,False,,False,,none
494,0.559,True,0.0993,True,,sept1scan
495,0.5588,True,0.0775,True,,sept1scan
496,0.5725,True,0.0823,True,,sept1scan
497,0.5152,True,0.0841,True,,sept1scan
498,0.4204,True,0.0527,True,,sept1scan
499,0.4864,False,,False,,none
500,0.5711,True,0.0896,True,,sept1scan
501,0.4322,True,0.0654,True,,sept1scan
502,0.5163,True,0.0756,True,,sept1scan
503,0.5331,True,0.058,True,,sept1scan
504,0.4434,True,0.0821,True,,sept1scan
505,0.5584,True,0.0808,True,,sept1scan
506,0.4541,True,0.0682,True,,sept1scan
507,0.3519,True,0.0288,True,,sept1scan
508,0.5546,True,0.0808,True,,sept1scan
509,0.3386,True,0.0235,True,,sept1scan
510,0.4212,True,0.0563,True,,sept1scan
511,0.4719,True,0.0876,True,,sept1scan
512,0.4048,True,0.069,True,,sept1scan
513,0.3847,True,0.0393,True,,sept1scan
514,0.6304,True,0.0942,True,,sept1scan
515,0.4814,True,0.0436,True,,sept1scan
516,0.4864,False,,False,,none
517,0.5417,True,0.0799,True,,sept1scan
518,0.4119,True,0.0998,True,,sept1scan
519,0.4806,True,0.1157,True,,sept1scan
520,0.44,True,,False,,sept1scan
521,0.5159,True,0.0705,True,,sept1scan
522,0.6117,True,0.1509,True,0.014,july2scan
523,0.4232,True,0.075,True,,sept1scan
524,0.4835,True,0.0725,True,,sept1scan
525,0.4102,True,0.0755,True,0.0078,july2scan
526,0.4907,True,0.0519,True,,sept1scan
527,0.4449,True,0.0616,True,,sept1scan
528,0.38,True,0.0257,True,,sept1scan
529,0.5612,True,,False,,sept1scan
530,0.544,True,,False,,sept1scan
531,0.237,True,-0.0043,True,,sept1scan
532,0.5081,True,0.0651,True,,sept1scan
533,0.3571,True,0.0119,True,,sept1scan
534,0.466,True,0.0641,True,,sept1scan
535,0.3948,True,,False,,sept1scan
536,0.3588,True,0.0258,True,,sept1scan
537,0.5619,True,0.1005,True,,sept1scan
538,0.6077,True,0.0976,True,,sept1scan
539,0.4577,True,,False,,sept1scan
540,0.5491,True,0.092,True,,sept1scan
541,0.5454,True,0.066,True,,sept1scan
542,0.4196,True,0.0499,True,,sept1scan
543,0.5799,True,0.1221,True,0.052,july2scan
544,0.5651,True,0.092,True,,sept1scan
545,0.5269,True,0.0873,True,,sept1scan
546,0.3463,True,0.0278,True,,sept1scan
547,0.5395,True,0.0685,True,,sept1scan
548,0.4948,True,0.0723,True,,sept1scan
549,0.6152,True,0.085,True,,sept1scan
550,0.5779,True,0.0934,True,,sept1scan
551,0.6032,True,0.0857,True,,sept1scan
552,0.605,True,0.098,True,,sept1scan
553,0.6188,True,0.0906,True,,sept1scan
554,0.4729,True,0.0617,True,,sept1scan
555,0.5777,True,0.1176,True,,sept1scan
556,0.4774,True,0.0385,True,,sept1scan
557,0.501,True,0.095,True,,sept1scan
558,0.44,True,0.0783,True,,sept1scan
559,0.5297,True,0.0728,True,,sept1scan
560,0.6294,True,0.0799,True,,sept1scan
561,0.43,True,0.0108,True,,sept1scan
562,0.3757,True,0.0328,True,,sept1scan
563,0.5696,True,0.0857,True,,sept1scan
564,0.4379,True,0.0452,True,,sept1scan
565,0.5574,True,0.0745,True,,sept1scan
566,0.3627,True,0.0254,True,,sept1scan
567,0.455,True,0.0668,True,,sept1scan
568,0.4551,True,0.0844,True,,sept1scan
569,0.4346,True,0.0675,True,,sept1scan
570,0.4344,True,0.0594,True,,sept1scan
571,0.4864,False,,False,,none
572,0.534,True,0.0742,True,,sept1scan
573,0.5171,True,0.0624,True,,sept1scan
574,0.3951,True,,False,0.0508,july2scan
575,0.6127,True,0.1005,True,,sept1scan
576,0.4693,True,0.0461,True,,sept1scan
577,0.4773,True,0.0481,True,,sept1scan
578,0.3957,True,,False,,sept1scan
579,0.4319,True,,False,,sept1scan
580,0.3337,True,-0.007,True,,sept1scan
581,0.43,True,,False,,sept1scan
582,0.5592,True,0.0722,True,,sept1scan
583,0.5416,True,0.088,True,,sept1scan
584,0.3125,True,0.0466,True,,sept1scan
585,0.4715,True,0.0698,True,,sept1scan
586,0.5608,True,0.0761,True,,sept1scan
587,0.7054,True,0.1112,True,,sept1scan
588,0.4546,True,0.0728,True,,sept1scan
589,0.4694,True,0.044,True,,sept1scan
590,0.5776,True,0.0784,True,,sept1scan
591,0.6332,True,0.0813,True,,sept1scan
592,0.4156,True,0.0488,True,,sept1scan
